SUBJECT,YEAR_ID,MONTH_ID,REGION_ZONE_NAME,PROVINCE_FULLNAME,ENTREPRENEUR,ENTRE_SECTIONID,OIL_NAME_ENG,OIL_NAME_THAI,QTY,UNIT,DATAOWNER
ปริมาณการจำหน่ายน้ำมันดีเซลหมุนเร็ว บี7,2567,10,ภาคใต้,กระบี่,ไออาร์พีซี,ม.7,ADO,น้ำมันดีเซลหมุนเร็วธรรมดา,0,พันลิตรต่อเดือน,กรมธุรกิจพลังงาน
ปริมาณการจำหน่ายน้ำมันดีเซลหมุนเร็ว บี7,2567,10,ภาคใต้,กระบี่,บางจาก ศรีราชา,ม.7,ADO,น้ำมันดีเซลหมุนเร็วธรรมดา,2280.87,พันลิตรต่อเดือน,กรมธุรกิจพลังงาน
ปริมาณการจำหน่ายน้ำมันดีเซลหมุนเร็ว บี7,2567,10,ภาคใต้,กระบี่,ไทยออยล์,ม.7,ADO,น้ำมันดีเซลหมุนเร็วธรรมดา,0,พันลิตรต่อเดือน,กรมธุรกิจพลังงาน
ปริมาณการจำหน่ายน้ำมันดีเซลหมุนเร็ว บี7,2567,10,ภาคใต้,กระบี่,พีทีที โกลบอล เคมิคอล,ม.7,ADO,น้ำมันดีเซลหมุนเร็วธรรมดา,0,พันลิตรต่อเดือน,กรมธุรกิจพลังงาน
ปริมาณการจำหน่ายน้ำมันดีเซลหมุนเร็ว บี7,2567,10,ภาคใต้,กระบี่,สตาร์ ฟูเอลส์ มาร์เก็ตติ้ง,ม.7,ADO,น้ำมันดีเซลหมุนเร็วธรรมดา,336.74,พันลิตรต่อเดือน,กรมธุรกิจพลังงาน
ปริมาณการจำหน่ายน้ำมันดีเซลหมุนเร็ว บี7,2567,10,ภาคใต้,กระบี่,เชลล์แห่งประเทศไทย,ม.7,ADO,น้ำมันดีเซลหมุนเร็วธรรมดา,967.45,พันลิตรต่อเดือน,กรมธุรกิจพลังงาน
ปริมาณการจำหน่ายน้ำมันดีเซลหมุนเร็ว บี7,2567,10,ภาคใต้,กระบี่,น้ำมัน ไออาร์พีซี,ม.7,ADO,น้ำมันดีเซลหมุนเร็วธรรมดา,0,พันลิตรต่อเดือน,กรมธุรกิจพลังงาน
ปริมาณการจำหน่ายน้ำมันดีเซลหมุนเร็ว บี7,2567,10,ภาคใต้,กระบี่,ไซโนเปค ซัสโก้,ม.7,ADO,น้ำมันดีเซลหมุนเร็วธรรมดา,0,พันลิตรต่อเดือน,กรมธุรกิจพลังงาน
ปริมาณการจำหน่ายน้ำมันดีเซลหมุนเร็ว บี7,2567,10,ภาคใต้,กระบี่,บางจาก คอร์ปอเรชั่น,ม.7,ADO,น้ำมันดีเซลหมุนเร็วธรรมดา,2538.16,พันลิตรต่อเดือน,กรมธุรกิจพลังงาน
ปริมาณการจำหน่ายน้ำมันดีเซลหมุนเร็ว บี7,2567,10,ภาคใต้,กระบี่,ปตท. น้ำมันและการค้าปลีก,ม.7,ADO,น้ำมันดีเซลหมุนเร็วธรรมดา,4079.9,พันลิตรต่อเดือน,กรมธุรกิจพลังงาน
ปริมาณการจำหน่ายน้ำมันดีเซลหมุนเร็ว บี7,2567,10,ภาคใต้,กระบี่,ยูนิคแก๊ส แอนด์ ปิโตรเคมิคัลส์,ม.7,ADO,น้ำมันดีเซลหมุนเร็วธรรมดา,0,พันลิตรต่อเดือน,กรมธุรกิจพลังงาน
ปริมาณการจำหน่ายน้ำมันดีเซลหมุนเร็ว บี7,2567,10,ภาคใต้,กระบี่,พีทีจี เอ็นเนอยี,ม.7,ADO,น้ำมันดีเซลหมุนเร็วธรรมดา,0,พันลิตรต่อเดือน,กรมธุรกิจพลังงาน
ปริมาณการจำหน่ายน้ำมันดีเซลหมุนเร็ว บี7,2567,10,ภาคใต้,กระบี่,ซัสโก้,ม.7,ADO,น้ำมันดีเซลหมุนเร็วธรรมดา,311,พันลิตรต่อเดือน,กรมธุรกิจพลังงาน
ปริมาณการจำหน่ายน้ำมันดีเซลหมุนเร็ว บี7,2567,11,ภาคใต้,กระบี่,ไทยออยล์,ม.7,ADO,น้ำมันดีเซลหมุนเร็วธรรมดา,0,พันลิตรต่อเดือน,กรมธุรกิจพลังงาน
ปริมาณการจำหน่ายน้ำมันดีเซลหมุนเร็ว บี7,2567,11,ภาคใต้,กระบี่,ยูนิคแก๊ส แอนด์ ปิโตรเคมิคัลส์,ม.7,ADO,น้ำมันดีเซลหมุนเร็วธรรมดา,0,พันลิตรต่อเดือน,กรมธุรกิจพลังงาน
ปริมาณการจำหน่ายน้ำมันดีเซลหมุนเร็ว บี7,2567,11,ภาคใต้,กระบี่,ปตท.,ม.7,ADO,น้ำมันดีเซลหมุนเร็วธรรมดา,28.99,พันลิตรต่อเดือน,กรมธุรกิจพลังงาน
ปริมาณการจำหน่ายน้ำมันดีเซลหมุนเร็ว บี7,2567,11,ภาคใต้,กระบี่,ไออาร์พีซี,ม.7,ADO,น้ำมันดีเซลหมุนเร็วธรรมดา,0,พันลิตรต่อเดือน,กรมธุรกิจพลังงาน
