สำนักงานคุมประพฤติ,เดือน ต.ค.2565,เดือน พ.ย.2565,เดือน ธ.ค.2565,เดือน ม.ค.2566,เดือน ก.พ.2566,เดือน มี.ค.2566,เดือน เม.ย.2566,เดือน พ.ค.2566,เดือน มิ.ย.2566,เดือน ก.ค.2566,เดือน ส.ค.2566,เดือน ก.ย.2566,year_be
สำนักงานคุมประพฤติจังหวัดประจวบคีรีขันธ์ สาขาหัวหิน,150,211,104,99,72,85,106,75,60,50,102,55,2566
สำนักงานคุมประพฤติจังหวัดปราจีนบุรี,106,132,68,125,87,99,112,69,27,24,65,68,2566
สำนักงานคุมประพฤติจังหวัดปราจีนบุรี  สาขากบินทร์บุรี,102,57,51,76,63,74,48,40,21,29,33,30,2566
สำนักงานคุมประพฤติจังหวัดปัตตานี,137,109,86,55,96,58,60,103,72,49,77,87,2566
สำนักงานคุมประพฤติจังหวัดพระนครศรีอยุธยา,211,180,146,360,172,197,383,231,133,129,88,54,2566
สำนักงานคุมประพฤติจังหวัดพะเยา,195,236,227,279,126,181,220,128,73,99,117,158,2566
สำนักงานคุมประพฤติจังหวัดพังงา,38,46,61,33,35,47,61,58,38,53,57,38,2566
สำนักงานคุมประพฤติจังหวัดพัทลุง,125,147,130,141,159,187,128,133,109,82,79,67,2566
สำนักงานคุมประพฤติจังหวัดพิจิตร,105,111,129,110,79,85,139,77,69,55,63,51,2566
สำนักงานคุมประพฤติจังหวัดพิษณุโลก,212,189,207,288,123,164,302,196,163,137,181,145,2566
สำนักงานคุมประพฤติจังหวัดเพชรบุรี,265,119,232,224,230,150,122,74,60,76,72,80,2566
สำนักงานคุมประพฤติจังหวัดเพชรบูรณ์,100,133,113,209,94,132,165,103,93,92,97,83,2566
สำนักงานคุมประพฤติจังหวัดเพชรบูรณ์ สาขาหล่มสัก,46,59,32,63,31,43,62,44,42,27,34,38,2566
สำนักงานคุมประพฤติจังหวัดแพร่,204,183,193,221,130,143,156,97,112,111,99,129,2566
สำนักงานคุมประพฤติจังหวัดภูเก็ต,71,66,62,64,61,81,110,84,74,82,90,86,2566
สำนักงานคุมประพฤติจังหวัดมหาสารคาม,296,179,215,191,160,228,278,182,181,131,168,164,2566
สำนักงานคุมประพฤติจังหวัดมหาสารคาม สาขาพยัคฆภูมิพิสัย,43,36,33,51,28,48,51,34,17,23,30,15,2566
สำนักงานคุมประพฤติจังหวัดมุกดาหาร,357,291,236,254,115,116,212,117,58,102,142,115,2566
สำนักงานคุมประพฤติจังหวัดแม่ฮ่องสอน,46,49,52,83,43,46,59,50,40,51,45,32,2566
สำนักงานคุมประพฤติจังหวัดยโสธร,171,142,163,265,99,123,285,76,63,81,116,109,2566
สำนักงานคุมประพฤติจังหวัดยะลา,45,83,38,48,45,63,29,56,47,39,46,37,2566
สำนักงานคุมประพฤติจังหวัดร้อยเอ็ด,515,580,534,798,526,533,997,446,277,359,403,456,2566
สำนักงานคุมประพฤติจังหวัดระนอง,142,86,48,53,62,70,65,50,44,37,23,45,2566
สำนักงานคุมประพฤติจังหวัดระยอง,85,88,45,87,89,127,51,66,58,42,56,74,2566
สำนักงานคุมประพฤติจังหวัดราชบุรี,691,262,310,303,282,303,313,276,153,139,230,184,2566
สำนักงานคุมประพฤติจังหวัดลพบุรี,168,172,149,227,142,154,307,170,101,114,115,120,2566
สำนักงานคุมประพฤติจังหวัดลพบุรี สาขาชัยบาดาล,57,36,71,94,30,52,121,30,32,25,37,31,2566
สำนักงานคุมประพฤติจังหวัดลำปาง,121,156,151,297,164,158,341,152,155,134,168,138,2566
สำนักงานคุมประพฤติจังหวัดลำพูน,211,278,274,472,230,269,299,260,156,178,219,208,2566
สำนักงานคุมประพฤติจังหวัดเลย,404,362,282,609,263,326,214,308,180,208,220,332,2566
สำนักงานคุมประพฤติจังหวัดศรีสะเกษ,177,226,161,259,120,179,199,184,112,119,159,111,2566
สำนักงานคุมประพฤติจังหวัดศรีสะเกษ สาขากันทรลักษ์,114,117,100,283,81,109,293,103,65,60,66,54,2566
สำนักงานคุมประพฤติจังหวัดสกลนคร,525,732,390,833,366,417,878,552,293,356,454,587,2566
สำนักงานคุมประพฤติจังหวัดสงขลา,296,304,254,316,309,339,243,352,176,196,256,200,2566
สำนักงานคุมประพฤติจังหวัดสงขลา สาขานาทวี,31,30,27,20,30,39,27,28,28,30,30,17,2566
สำนักงานคุมประพฤติจังหวัดสตูล,24,42,34,28,17,45,22,40,15,16,26,13,2566
สำนักงานคุมประพฤติจังหวัดสมุทรปราการ,553,658,1103,895,434,286,532,570,394,354,605,429,2566
สำนักงานคุมประพฤติจังหวัดสมุทรสงคราม,27,14,27,27,10,8,42,43,31,32,35,26,2566
สำนักงานคุมประพฤติจังหวัดสมุทรสาคร,165,87,84,76,72,72,98,42,52,56,53,61,2566
สำนักงานคุมประพฤติจังหวัดสระแก้ว,151,143,159,260,142,199,270,172,131,158,200,138,2566
สำนักงานคุมประพฤติจังหวัดสระบุรี,283,224,267,319,107,216,201,259,163,119,147,73,2566
สำนักงานคุมประพฤติจังหวัดสิงห์บุรี,70,33,15,72,19,23,62,31,37,29,31,30,2566
สำนักงานคุมประพฤติจังหวัดสุโขทัย,168,91,154,213,56,76,248,83,41,61,55,50,2566
สำนักงานคุมประพฤติจังหวัดสุโขทัย สาขาสวรรคโลก,76,52,89,111,32,29,115,32,35,27,24,29,2566
สำนักงานคุมประพฤติจังหวัดสุพรรณบุรี,635,432,288,299,228,217,137,110,47,39,32,29,2566
สำนักงานคุมประพฤติจังหวัดสุราษฎร์ธานี,285,215,189,260,194,201,214,212,170,184,220,215,2566
สำนักงานคุมประพฤติจังหวัดสุราษฎร์ธานี สาขาเกาะสมุย,133,93,76,81,65,73,85,55,35,32,79,67,2566
สำนักงานคุมประพฤติจังหวัดสุรินทร์,214,223,226,425,187,240,393,204,178,134,178,209,2566
สำนักงานคุมประพฤติจังหวัดหนองคาย,339,397,180,506,154,154,358,389,124,117,153,101,2566
สำนักงานคุมประพฤติจังหวัดหนองบัวลำภู,113,224,118,142,106,160,145,239,92,85,141,116,2566
สำนักงานคุมประพฤติจังหวัดอ่างทอง,67,51,62,76,73,60,97,36,26,36,58,51,2566
สำนักงานคุมประพฤติจังหวัดอำนาจเจริญ,110,91,126,309,75,95,210,91,64,79,68,92,2566
สำนักงานคุมประพฤติจังหวัดอุดรธานี,650,670,457,545,319,429,311,431,261,257,323,342,2566
สำนักงานคุมประพฤติจังหวัดอุตรดิตถ์,107,99,110,157,114,118,167,109,109,92,91,74,2566
สำนักงานคุมประพฤติจังหวัดอุทัยธานี,68,48,46,104,39,47,51,41,42,51,50,38,2566
สำนักงานคุมประพฤติจังหวัดอุบลราชธานี,177,515,608,845,239,551,957,556,553,628,489,511,2566
สำนักงานคุมประพฤติจังหวัดอุบลราชธานี สาขาเดชอุดม,101,94,94,169,81,86,143,80,44,42,50,49,2566
