สำนักงานคุมประพฤติ,เดือน ต.ค.2564,เดือน พ.ย.2564,เดือน ธ.ค.2564,เดือน ม.ค.2565,เดือน ก.พ.2565,เดือน มี.ค.2565,เดือน เม.ย.2565,เดือน พ.ค.2565,เดือน มิ.ย.2565,เดือน ก.ค.2565,เดือน ส.ค.2565,เดือน ก.ย.2565,year_be,เดือน ต.ค.2565,เดือน พ.ย.2565,เดือน ธ.ค.2565,เดือน ม.ค.2566,เดือน ก.พ.2566,เดือน มี.ค.2566,เดือน เม.ย.2566,เดือน พ.ค.2566,เดือน มิ.ย.2566,เดือน ก.ค.2566,เดือน ส.ค.2566,เดือน ก.ย.2566
สำนักงานคุมประพฤติจังหวัดตรัง,58.0,109.0,276.0,252.0,179.0,152.0,207.0,218.0,229.0,217.0,247.0,192.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดตราด,29.0,24.0,53.0,143.0,84.0,62.0,100.0,69.0,47.0,39.0,78.0,47.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดตาก,17.0,40.0,70.0,42.0,32.0,26.0,93.0,49.0,29.0,79.0,108.0,89.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดตาก สาขาแม่สอด,20.0,37.0,63.0,25.0,26.0,29.0,40.0,40.0,39.0,46.0,53.0,41.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดนครนายก,62.0,35.0,88.0,225.0,96.0,134.0,155.0,156.0,235.0,215.0,232.0,172.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดนครปฐม,58.0,107.0,297.0,356.0,308.0,441.0,307.0,294.0,316.0,238.0,404.0,265.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดนครพนม,54.0,64.0,365.0,638.0,273.0,659.0,562.0,366.0,444.0,344.0,284.0,288.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดนครราชสีมา,102.0,109.0,204.0,312.0,274.0,328.0,231.0,310.0,369.0,224.0,326.0,304.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดนครราชสีมา สาขาบัวใหญ่,31.0,36.0,61.0,113.0,83.0,84.0,55.0,85.0,99.0,57.0,114.0,69.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดนครราชสีมา สาขาพิมาย,24.0,30.0,67.0,155.0,48.0,76.0,197.0,55.0,67.0,35.0,52.0,42.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดนครราชสีมา สาขาสีคิ้ว,131.0,91.0,153.0,170.0,185.0,116.0,142.0,112.0,127.0,127.0,151.0,129.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดนครศรีธรรมราช,85.0,100.0,341.0,340.0,408.0,540.0,410.0,621.0,616.0,556.0,694.0,437.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดนครศรีธรรมราช สาขาทุ่งสง,76.0,65.0,112.0,170.0,172.0,285.0,277.0,294.0,300.0,294.0,292.0,256.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดนครสวรรค์,122.0,118.0,269.0,396.0,180.0,299.0,338.0,211.0,268.0,195.0,338.0,299.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดนนทบุรี,102.0,80.0,268.0,428.0,330.0,284.0,637.0,283.0,339.0,396.0,385.0,219.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดนราธิวาส,27.0,59.0,54.0,44.0,38.0,48.0,38.0,26.0,25.0,31.0,19.0,16.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดน่าน,74.0,89.0,186.0,198.0,174.0,210.0,233.0,272.0,255.0,175.0,245.0,165.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดบึงกาฬ,62.0,72.0,152.0,160.0,220.0,250.0,218.0,298.0,372.0,323.0,310.0,267.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดบุรีรัมย์,47.0,59.0,201.0,269.0,91.0,128.0,304.0,114.0,112.0,90.0,103.0,103.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดบุรีรัมย์ สาขานางรอง,40.0,44.0,63.0,220.0,61.0,95.0,164.0,51.0,45.0,68.0,67.0,35.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดปทุมธานี,88.0,118.0,220.0,332.0,435.0,361.0,444.0,527.0,332.0,234.0,387.0,253.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดประจวบคีรีขันธ์,28.0,46.0,74.0,109.0,103.0,121.0,126.0,91.0,112.0,75.0,105.0,92.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดประจวบคีรีขันธ์ สาขาหัวหิน,15.0,24.0,39.0,70.0,49.0,52.0,67.0,40.0,63.0,61.0,74.0,42.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดปราจีนบุรี,16.0,20.0,70.0,94.0,60.0,76.0,102.0,91.0,103.0,115.0,206.0,84.0,2565,,,,,,,,,,,,
